aX,aY,aZ,gX,gY,gZ
0.355,-0.783,2.151,9.583,-22.095,-4.883
0.329,-0.838,2.348,25.635,-6.042,1.953
0.273,-0.841,2.481,44.678,20.569,11.108
0.308,-0.832,2.520,65.796,55.725,21.423
0.456,-0.780,2.438,86.609,86.548,31.555
0.568,-0.673,2.388,103.943,105.408,36.682
0.635,-0.673,2.260,118.835,117.920,32.288
0.653,-0.592,2.321,126.343,121.033,28.503
0.679,-0.651,2.313,134.705,129.272,22.949
0.713,-0.614,2.304,146.484,142.700,20.752
0.788,-0.484,2.273,161.560,158.569,21.240
0.777,-0.458,2.083,181.091,178.223,16.724
0.684,-0.319,1.869,196.350,198.792,12.451
0.556,-0.222,1.698,209.717,211.365,11.963
0.524,-0.018,1.474,218.445,231.323,15.442
0.432,0.099,1.227,222.229,253.723,19.104
0.231,0.282,0.972,221.985,280.457,22.705
0.055,0.371,0.589,220.032,311.584,24.048
-0.138,0.460,0.214,217.407,335.632,21.606
-0.304,0.541,-0.310,211.182,346.741,16.357
-0.455,0.574,-0.801,201.477,334.106,8.423
-0.566,0.558,-1.202,186.157,300.598,-0.977
-0.636,0.569,-1.536,164.795,255.798,-8.911
-0.673,0.515,-1.785,141.724,204.712,-19.775
-0.708,0.437,-1.837,117.065,147.278,-30.151
-0.711,0.342,-1.870,92.102,91.309,-36.560
-0.676,0.257,-1.745,65.063,37.231,-38.147
-0.592,0.151,-1.565,38.757,-6.714,-36.621
-0.492,0.043,-1.344,13.916,-40.222,-32.104
-0.381,-0.062,-1.105,-9.766,-64.941,-24.597
-0.255,-0.157,-0.847,-32.471,-79.895,-15.076
-0.081,-0.189,-0.613,-52.917,-84.778,-6.470
0.187,-0.229,-0.394,-67.932,-85.999,-2.197
0.419,-0.314,-0.211,-76.416,-93.018,-5.005
0.552,-0.425,0.010,-82.153,-107.971,-13.733
0.629,-0.549,0.243,-86.060,-124.939,-25.391
0.646,-0.693,0.449,-87.402,-138.855,-35.461
0.634,-0.796,0.652,-85.449,-147.827,-41.138
0.612,-0.859,0.749,-79.773,-147.278,-43.030
0.607,-0.897,0.771,-72.693,-139.771,-42.114
0.599,-0.906,0.815,-66.589,-130.859,-38.269
0.604,-0.910,0.822,-62.866,-117.310,-32.166
0.580,-0.847,0.789,-60.242,-96.863,-24.963
0.548,-0.844,0.690,-56.335,-75.012,-16.907
0.533,-0.837,0.599,-54.321,-56.702,-9.033
0.536,-0.739,0.579,-54.321,-44.556,-3.113
0.553,-0.709,0.511,-50.232,-37.170,-0.061
0.594,-0.696,0.428,-48.279,-34.119,1.038
0.617,-0.599,0.426,-49.377,-40.649,0.061
0.594,-0.634,0.414,-46.387,-50.110,-3.723
0.569,-0.620,0.426,-45.898,-60.730,-6.287
0.550,-0.598,0.441,-45.227,-70.190,-8.545
0.579,-0.554,0.469,-46.814,-75.745,-9.460
0.614,-0.555,0.505,-49.683,-79.041,-12.207
0.606,-0.577,0.602,-53.040,-83.008,-15.381
0.573,-0.622,0.677,-54.504,-83.862,-18.250
0.525,-0.658,0.727,-53.406,-79.651,-18.921
0.500,-0.668,0.748,-50.781,-72.876,-16.479
0.481,-0.680,0.741,-46.814,-63.904,-12.878
0.458,-0.680,0.734,-43.457,-54.993,-9.033
0.449,-0.653,0.698,-41.199,-46.326,-4.700
0.490,-0.621,0.632,-41.321,-37.720,-1.709
0.537,-0.525,0.602,-44.067,-32.654,-1.099
0.553,-0.548,0.575,-45.715,-33.936,-3.845
0.524,-0.551,0.627,-48.645,-40.710,-8.667
0.500,-0.563,0.631,-50.110,-48.889,-14.099
0.514,-0.634,0.818,-52.734,-62.317,-19.958
0.392,-0.588,0.851,-49.622,-71.838,-24.109
0.482,-0.693,0.734,-42.053,-65.735,-27.832
0.414,-0.672,0.895,-42.297,-77.026,-26.672
0.350,-0.667,0.936,-40.161,-78.430,-25.024
0.304,-0.700,0.886,-35.156,-64.575,-23.071
0.333,-0.660,0.815,-32.593,-49.744,-14.709
0.332,-0.610,0.887,-35.645,-40.344,-5.981
0.365,-0.547,0.790,-35.767,-21.240,-2.197
0.432,-0.532,0.712,-37.476,-8.728,-0.854
0.427,-0.527,0.732,-40.771,-12.146,-2.197
0.407,-0.543,0.759,-42.908,-19.409,-5.249
0.395,-0.543,0.735,-43.457,-26.550,-8.728
0.372,-0.546,0.733,-44.006,-35.889,-11.658
0.353,-0.504,0.767,-45.227,-43.823,-13.184
0.352,-0.515,0.756,-44.800,-46.692,-15.381
0.346,-0.536,0.811,-44.434,-50.781,-17.456
0.325,-0.565,0.919,-42.664,-56.335,-18.799
0.325,-0.586,0.988,-39.307,-59.326,-19.531
0.331,-0.608,1.026,-36.499,-59.021,-19.958
0.308,-0.637,1.061,-34.546,-55.237,-19.653
0.279,-0.654,1.078,-33.386,-49.377,-17.090
0.273,-0.668,1.063,-32.959,-41.443,-12.573
0.260,-0.654,1.049,-31.921,-33.264,-7.141
0.279,-0.623,1.031,-29.907,-25.696,-2.441
0.305,-0.598,0.975,-26.550,-18.738,0.366
0.284,-0.582,0.908,-23.682,-11.841,2.136
0.286,-0.535,0.882,-23.132,-7.568,4.761
0.324,-0.495,0.832,-23.254,-4.333,6.287
0.344,-0.467,0.792,-23.926,-4.211,4.944
0.336,-0.465,0.818,-25.269,-9.583,1.099
0.312,-0.489,0.851,-25.391,-17.944,-3.418
0.303,-0.501,0.897,-25.024,-26.672,-7.690
0.280,-0.533,0.952,-23.560,-33.813,-10.864
0.255,-0.561,0.994,-22.400,-37.109,-12.207
0.235,-0.571,1.027,-20.874,-37.537,-11.169
0.224,-0.575,1.036,-18.799,-32.959,-8.057
