aX,aY,aZ,gX,gY,gZ
1.142,-0.632,-1.027,-95.886,58.411,-46.143
0.695,-1.154,-1.293,-89.417,69.275,-53.528
0.202,-1.626,-1.654,-93.994,69.641,-43.152
-0.146,-1.923,-1.864,-94.299,51.514,-18.738
-0.552,-2.121,-1.717,-71.045,7.324,28.687
-0.580,-1.914,-1.111,-19.775,-64.941,92.651
-0.411,-1.210,-0.225,48.401,-141.968,165.161
-0.366,-0.465,0.582,118.103,-194.763,222.595
-0.225,0.462,1.271,177.185,-217.651,257.568
-0.007,1.399,1.581,210.571,-203.186,270.691
0.251,2.586,1.706,210.510,-179.199,262.085
0.530,3.659,1.723,190.918,-142.090,236.450
0.629,4.000,1.662,140.625,-101.196,178.833
0.588,3.999,1.481,88.196,-60.913,84.656
0.321,3.140,1.496,28.687,-35.156,-6.531
0.118,2.177,1.733,-28.198,-17.151,-55.481
0.082,1.675,1.817,-71.167,4.272,-59.143
0.248,1.459,1.691,-86.914,31.982,-51.758
0.371,1.296,1.377,-70.496,61.951,-52.734
0.389,1.152,0.963,-40.100,86.975,-59.265
0.333,0.969,0.490,-11.536,104.797,-67.688
0.191,0.751,0.018,5.981,115.845,-76.843
0.145,0.514,-0.465,9.827,119.629,-79.956
0.105,0.398,-0.761,2.136,108.948,-70.129
0.132,0.354,-0.907,-10.559,85.999,-51.575
0.285,0.424,-0.860,-23.926,54.932,-29.236
0.472,0.564,-0.629,-34.180,24.170,-13.062
0.587,0.595,-0.363,-35.156,5.737,-11.963
0.624,0.515,-0.218,-29.785,2.380,-17.944
0.637,0.406,-0.212,-24.109,6.287,-22.034
0.641,0.379,-0.206,-15.625,6.897,-19.104
0.669,0.356,-0.227,-6.836,3.845,-14.038
0.664,0.398,-0.184,2.014,-2.319,-7.202
0.715,0.481,-0.155,12.512,-5.737,1.160
0.764,0.563,-0.137,18.250,-7.324,6.836
0.803,0.628,-0.120,18.005,-7.996,8.362
0.827,0.667,-0.083,16.235,-8.301,7.996
0.823,0.707,-0.055,13.855,-7.385,7.324
0.827,0.708,-0.071,12.329,-4.395,5.676
0.814,0.714,-0.052,6.653,-3.479,3.967
0.800,0.727,-0.031,1.099,-2.258,3.418
0.789,0.726,-0.022,-2.563,-0.427,2.808
0.790,0.730,-0.017,-5.737,1.404,2.441
0.779,0.730,-0.001,-7.996,2.563,1.709
0.744,0.730,0.005,-8.423,2.563,0.488
0.744,0.730,-0.003,-7.080,4.639,0.366
0.743,0.740,-0.017,-5.249,5.859,-0.305
0.746,0.742,-0.040,-3.418,5.920,-1.526
0.743,0.749,-0.050,-2.136,5.066,-2.625
0.728,0.750,-0.055,-1.282,4.578,-4.028
0.733,0.746,-0.062,-1.099,4.700,-6.165
0.748,0.746,-0.084,-1.709,5.127,-7.935
0.748,0.724,-0.098,-2.869,4.456,-10.193
0.734,0.695,-0.095,-4.578,3.418,-11.597
0.735,0.670,-0.091,-6.226,2.380,-12.146
0.739,0.654,-0.076,-7.263,1.465,-12.329
0.733,0.645,-0.039,-7.568,0.183,-11.780
0.746,0.637,-0.014,-7.202,-0.488,-11.414
0.754,0.638,-0.001,-6.348,0.671,-11.292
0.756,0.630,-0.020,-5.066,2.930,-10.925
0.755,0.626,-0.040,-4.089,3.967,-10.742
0.747,0.619,-0.042,-3.235,3.479,-10.498
0.753,0.615,-0.057,-3.052,3.601,-10.010
0.752,0.619,-0.054,-3.540,3.418,-9.216
0.747,0.625,-0.047,-3.662,4.272,-8.362
0.746,0.623,-0.064,-3.845,5.737,-7.935
0.747,0.623,-0.065,-4.211,6.592,-7.202
0.746,0.634,-0.058,-4.211,6.775,-6.042
0.742,0.637,-0.057,-3.784,7.324,-5.371
0.747,0.646,-0.064,-3.601,7.935,-5.066
0.754,0.648,-0.075,-3.296,9.094,-5.005
0.740,0.639,-0.086,-3.418,9.399,-5.249
0.732,0.631,-0.086,-3.174,9.216,-5.066
0.736,0.632,-0.093,-3.479,9.460,-4.578
0.728,0.632,-0.098,-3.540,10.071,-4.456
0.723,0.628,-0.109,-3.784,10.315,-4.333
0.736,0.628,-0.120,-3.662,10.071,-3.906
0.736,0.636,-0.115,-3.418,8.606,-3.662
0.723,0.629,-0.115,-2.930,7.568,-3.784
0.718,0.625,-0.123,-2.441,7.629,-3.723
0.721,0.630,-0.130,-2.502,7.690,-3.662
0.724,0.633,-0.131,-2.808,7.202,-3.174
0.719,0.631,-0.133,-3.357,6.714,-2.808
0.722,0.630,-0.137,-4.211,6.775,-2.747
0.718,0.630,-0.131,-4.883,6.226,-2.380
0.712,0.630,-0.123,-5.066,5.432,-2.258
0.718,0.628,-0.128,-5.432,5.798,-2.441
0.714,0.621,-0.130,-5.432,6.104,-2.563
0.707,0.612,-0.126,-4.822,5.798,-2.563
0.717,0.606,-0.129,-4.944,5.493,-2.319
0.717,0.608,-0.121,-5.188,4.517,-1.831
0.720,0.608,-0.105,-5.005,3.479,-1.282
0.730,0.611,-0.117,-4.944,4.028,-0.793
0.735,0.610,-0.122,-4.517,4.883,-0.244
0.729,0.615,-0.124,-4.211,4.761,0.305
0.736,0.620,-0.134,-4.456,5.371,0.732
0.737,0.633,-0.141,-4.395,5.371,1.038
0.736,0.626,-0.147,-4.272,5.005,1.038
0.737,0.631,-0.135,-4.761,3.967,1.526
0.736,0.623,-0.134,-5.066,3.235,1.892
0.738,0.624,-0.135,-5.066,2.869,2.197
0.748,0.631,-0.139,-4.883,2.563,2.625
0.740,0.634,-0.132,-4.150,2.075,2.869
0.743,0.642,-0.132,-3.662,2.136,2.747
0.747,0.652,-0.142,-3.052,2.319,2.502
0.740,0.646,-0.151,-3.113,2.441,1.770
0.736,0.645,-0.156,-3.662,2.502,1.709
0.740,0.641,-0.159,-4.333,2.502,1.587
0.736,0.633,-0.153,-4.944,2.258,1.526
0.736,0.633,-0.151,-5.615,1.770,1.892
0.741,0.639,-0.149,-5.798,1.587,2.014
0.747,0.646,-0.159,-5.615,2.075,1.587
0.745,0.640,-0.158,-5.066,1.343,1.099
0.743,0.645,-0.161,-5.127,0.183,0.793
0.753,0.654,-0.168,-5.249,0.366,0.488
0.758,0.650,-0.167,-5.249,0.061,0.000
0.747,0.644,-0.160,-5.676,-0.854,-0.610
0.754,0.650,-0.159,-6.042,-1.404,-1.282
0.755,0.637,-0.146,-5.432,-1.953,-1.953

1.555,0.072,-0.964,-3.662,-15.991,6.409
1.616,-0.259,-1.202,-6.470,-7.690,0.854
1.556,-0.567,-1.500,-13.794,-3.601,-0.732
1.472,-0.905,-1.809,-21.667,-2.197,4.150
1.254,-1.225,-2.031,-23.071,-6.592,13.306
0.941,-1.404,-2.119,-19.348,-21.362,29.114
0.649,-1.490,-1.991,-13.428,-42.786,53.162
0.480,-1.441,-1.503,-6.165,-65.613,88.623
0.360,-1.271,-0.921,14.893,-86.487,121.399
0.202,-1.059,-0.448,55.359,-102.051,148.132
-0.228,-0.647,0.236,96.191,-122.192,173.218
-0.304,0.065,0.912,119.202,-136.902,202.087
-0.118,0.945,1.403,127.563,-125.610,226.624
-0.216,1.929,1.774,118.042,-100.891,224.915
-0.136,2.872,1.907,92.712,-68.604,197.327
0.045,3.330,1.688,61.584,-28.748,148.804
0.028,3.330,1.448,26.184,-2.502,89.722
-0.130,2.991,1.506,-10.254,0.427,29.846
-0.415,2.376,1.707,-39.612,-4.028,-11.230
-0.578,1.853,1.607,-62.988,7.935,-26.733
-0.489,1.578,1.416,-78.430,27.222,-22.827
-0.323,1.525,1.255,-83.557,38.818,-13.184
-0.146,1.491,1.021,-72.998,47.913,-11.414
-0.027,1.370,0.706,-44.739,57.861,-18.921
0.033,1.166,0.334,-18.250,66.162,-27.954
0.056,0.981,0.012,-4.517,65.491,-34.241
0.086,0.841,-0.219,-1.404,59.875,-35.583
0.145,0.790,-0.348,-5.554,49.866,-33.386
0.203,0.766,-0.370,-11.475,37.415,-31.677
0.263,0.760,-0.291,-15.808,26.123,-31.982
0.313,0.718,-0.202,-15.625,18.555,-35.461
0.379,0.665,-0.145,-10.864,15.503,-38.086
0.407,0.593,-0.132,-2.625,13.611,-41.870
0.439,0.527,-0.140,5.432,11.230,-41.687
0.439,0.492,-0.120,11.108,6.531,-36.987
0.474,0.514,-0.089,14.038,4.822,-29.114
0.547,0.540,-0.071,14.648,6.042,-21.484
0.539,0.562,-0.058,13.428,7.690,-15.503
0.589,0.612,-0.066,12.512,11.108,-11.108
0.636,0.627,-0.097,11.536,15.015,-13.977
0.632,0.651,-0.130,10.925,15.747,-14.771
0.658,0.681,-0.172,9.644,16.785,-12.085
0.682,0.699,-0.212,7.568,15.442,-10.193
0.673,0.700,-0.235,4.761,9.827,-10.925
0.667,0.682,-0.204,2.014,2.869,-11.230
0.647,0.679,-0.139,0.793,-1.831,-11.108
0.668,0.664,-0.106,-0.244,-2.869,-11.108
0.670,0.669,-0.048,-1.770,-2.869,-10.315
0.674,0.646,-0.010,-0.183,-1.953,-9.277
0.674,0.653,-0.005,1.892,-0.122,-7.690
0.681,0.672,-0.005,2.930,2.014,-6.104
0.684,0.664,-0.024,4.517,4.211,-5.188
0.681,0.695,-0.017,4.089,6.226,-4.028
0.707,0.693,-0.054,4.944,10.986,-2.991
0.721,0.742,-0.088,4.272,13.794,-2.197
0.716,0.766,-0.109,1.892,14.099,-2.136
0.691,0.759,-0.163,1.343,14.343,-2.930
0.686,0.758,-0.224,1.160,13.733,-3.479
0.683,0.751,-0.257,-1.221,11.475,-3.479
0.698,0.777,-0.248,-5.249,6.714,-3.418
0.719,0.779,-0.206,-8.911,3.479,-4.028
0.705,0.767,-0.180,-11.230,2.869,-5.920
0.715,0.754,-0.172,-12.634,3.845,-6.653
0.707,0.734,-0.153,-13.733,3.906,-7.629
0.712,0.723,-0.135,-13.855,3.235,-7.935
0.717,0.730,-0.129,-14.893,3.662,-8.118
0.722,0.738,-0.123,-15.381,4.089,-8.789
0.743,0.734,-0.111,-14.954,5.005,-10.010
0.740,0.711,-0.102,-14.526,5.066,-11.536
0.740,0.699,-0.076,-13.855,5.127,-12.756
0.757,0.719,-0.017,-12.939,7.446,-13.733
0.787,0.725,-0.027,-12.207,11.292,-15.747
0.768,0.730,-0.014,-10.193,14.648,-18.311
0.795,0.709,-0.054,-6.409,21.057,-19.897
0.776,0.688,-0.085,-4.272,23.682,-20.935
0.729,0.658,-0.076,-4.395,21.912,-20.691
0.731,0.656,-0.079,-4.150,23.926,-18.616
0.726,0.656,-0.099,-3.845,25.757,-16.724
0.727,0.671,-0.105,-3.113,26.672,-14.709
0.749,0.684,-0.130,-2.441,30.029,-13.367
0.756,0.700,-0.156,-2.563,30.029,-13.977
0.755,0.690,-0.189,-2.747,28.870,-15.076
0.774,0.724,-0.233,-6.958,30.334,-13.672
0.749,0.719,-0.246,-9.949,29.541,-13.550
0.730,0.692,-0.273,-12.024,29.114,-14.404
0.732,0.685,-0.265,-14.709,26.855,-13.977
0.719,0.654,-0.272,-15.625,23.071,-13.733
0.708,0.629,-0.264,-16.968,21.301,-13.062
0.708,0.606,-0.255,-18.921,19.775,-11.475
0.705,0.601,-0.249,-18.494,17.883,-9.583
0.702,0.591,-0.239,-16.296,16.663,-8.545
0.708,0.592,-0.256,-14.526,16.602,-7.690
0.705,0.589,-0.263,-12.512,15.991,-6.775
0.687,0.579,-0.266,-9.827,14.771,-6.287
0.688,0.574,-0.289,-7.507,13.977,-6.348
0.693,0.581,-0.315,-5.859,12.512,-5.676
0.705,0.605,-0.311,-4.517,9.644,-4.944
0.703,0.606,-0.321,-4.211,7.507,-5.127
0.697,0.625,-0.304,-3.662,5.676,-4.456
0.705,0.630,-0.297,-3.113,4.578,-4.211
0.714,0.642,-0.303,-3.540,4.089,-4.639
0.718,0.647,-0.296,-4.517,4.272,-4.944
0.710,0.647,-0.289,-5.249,3.845,-6.042
0.700,0.640,-0.294,-6.104,3.296,-7.080
0.697,0.629,-0.302,-5.371,2.014,-7.141
0.696,0.615,-0.307,-4.517,0.183,-7.080
0.689,0.611,-0.299,-4.517,-1.892,-6.470
0.713,0.633,-0.301,-4.883,-4.517,-5.310
0.731,0.640,-0.266,-3.418,-8.057,-4.761
0.721,0.645,-0.230,-1.587,-9.888,-5.188
0.718,0.640,-0.238,-0.427,-8.240,-6.287
0.708,0.632,-0.235,-0.122,-6.226,-6.897
0.713,0.628,-0.233,-0.488,-4.395,-6.531
0.706,0.613,-0.247,-1.770,-1.831,-5.859
0.702,0.608,-0.264,-3.479,0.244,-4.883
0.716,0.620,-0.250,-5.249,0.732,-3.845
0.734,0.633,-0.262,-6.714,0.305,-3.662
0.743,0.625,-0.251,-6.531,-1.892,-4.150
0.733,0.614,-0.228,-5.066,-4.272,-4.822

1.443,0.487,-0.775,-6.348,-10.193,-7.568
1.561,0.358,-0.858,-16.907,-11.169,-13.611
1.549,0.235,-0.918,-41.565,-8.789,-23.193
1.562,0.053,-1.070,-67.749,-1.038,-31.433
1.579,-0.197,-1.219,-86.426,6.592,-42.480
1.477,-0.636,-1.293,-102.173,7.568,-54.626
1.266,-1.143,-1.313,-118.042,3.540,-61.890
0.969,-1.730,-1.295,-125.610,-4.272,-58.289
0.675,-2.145,-1.133,-126.770,-17.151,-37.720
0.456,-2.373,-0.812,-109.558,-32.715,5.920
0.243,-2.499,-0.397,-62.683,-48.584,61.523
0.076,-2.392,-0.089,3.296,-59.265,121.399
-0.301,-2.073,0.363,80.322,-74.829,182.434
-0.772,-1.335,0.852,162.476,-94.360,247.803
-0.916,-0.200,1.177,238.342,-108.826,308.716
-0.872,1.252,1.345,289.001,-114.502,346.375
-0.567,2.997,1.432,290.283,-111.084,347.595
-0.110,4.000,1.160,250.671,-87.402,305.786
-0.063,4.000,0.710,198.608,-56.091,212.830
-0.499,3.929,0.602,125.427,-40.894,111.084
-0.655,3.029,0.881,34.912,-37.231,44.983
-0.546,2.638,1.403,-57.373,-33.752,32.776
-0.259,2.685,1.724,-121.704,-14.648,40.894
0.004,2.627,1.701,-128.784,16.602,28.931
0.115,2.385,1.378,-101.624,44.006,-1.831
0.134,1.997,0.922,-57.922,61.768,-35.767
0.107,1.585,0.517,-16.724,70.923,-62.744
0.117,1.234,0.154,1.892,74.524,-80.017
0.132,1.005,-0.098,4.822,73.730,-83.008
0.143,0.837,-0.294,1.587,73.059,-76.599
0.158,0.678,-0.464,-8.240,68.420,-72.205
0.212,0.635,-0.445,-20.691,54.993,-69.336
0.302,0.621,-0.361,-27.222,37.231,-59.509
0.452,0.678,-0.191,-25.818,20.630,-52.612
0.541,0.665,-0.064,-19.226,10.742,-52.246
0.568,0.559,-0.031,-10.071,10.010,-54.932
0.572,0.459,-0.043,-5.554,11.963,-55.603
0.562,0.382,-0.064,-1.892,13.794,-51.941
0.569,0.345,-0.099,2.136,15.625,-43.335
0.595,0.362,-0.155,3.723,16.968,-31.189
0.592,0.382,-0.162,3.845,17.639,-20.630
0.629,0.441,-0.164,3.601,19.653,-10.864
0.674,0.519,-0.188,2.930,20.874,-5.310
0.701,0.597,-0.194,2.991,19.836,-3.296
0.736,0.659,-0.216,4.272,17.761,-4.211
0.687,0.695,-0.206,6.226,13.855,-8.301
0.701,0.689,-0.199,7.080,10.864,-12.207
0.689,0.657,-0.177,6.042,6.714,-15.320
0.672,0.652,-0.117,3.845,2.136,-15.991
0.695,0.639,-0.122,1.770,2.319,-14.282
0.718,0.631,-0.135,0.488,1.770,-11.536
0.707,0.641,-0.116,-2.197,-1.953,-9.460
0.693,0.656,-0.123,-4.395,-1.770,-8.545
0.700,0.661,-0.153,-5.066,-0.061,-9.033
0.697,0.663,-0.176,-3.967,-0.122,-9.827
0.691,0.652,-0.190,-3.662,-1.282,-10.132
0.675,0.653,-0.149,-3.418,-3.784,-9.705
0.661,0.662,-0.134,-4.822,-4.089,-8.789
0.690,0.673,-0.120,-5.493,-2.747,-8.606
0.721,0.701,-0.099,-7.141,-2.441,-8.423
0.737,0.701,-0.100,-7.874,-1.099,-9.277
0.742,0.690,-0.117,-9.094,0.793,-10.559
0.747,0.672,-0.131,-10.376,1.404,-12.024
